gene_id,category
AT5G51585,Co60_only
AT5G51730,Co60_only
AT5G52740,Co60_only
AT5G52750,Co60_only
AT5G52760,Co60_only
AT5G53230,Co60_only
AT5G53240,Co60_only
AT5G54490,Co60_only
AT5G54560,Co60_only
AT5G54610,Co60_only
AT5G54700,Co60_only
AT5G54710,Co60_only
AT5G54720,Co60_only
AT5G55150,Co60_only
AT5G55270,Co60_only
AT5G55450,Co60_only
AT5G55490,Co60_only
AT5G55680,Co60_only
AT5G56120,Co60_only
AT5G56510,Co60_only
AT5G56960,Co60_only
AT5G57220,Co60_only
AT5G57560,Co60_only
AT5G58120,Co60_only
AT5G58400,Co60_only
AT5G58610,Co60_only
AT5G59390,Co60_only
AT5G60250,Co60_only
AT5G60260,Co60_only
AT5G60900,Co60_only
AT5G61160,Co60_only
AT5G61490,Co60_only
AT5G61600,Co60_only
AT5G61620,Co60_only
AT5G61740,Co60_only
AT5G63250,Co60_only
AT5G63900,Co60_only
AT5G64000,Co60_only
AT5G64060,Co60_only
AT5G64450,Co60_only
AT5G64540,Co60_only
AT5G64810,Co60_only
AT5G64870,Co60_only
AT5G64905,Co60_only
AT5G65300,Co60_only
AT5G65500,Co60_only
AT5G65600,Co60_only
AT5G65800,Co60_only
AT5G66070,Co60_only
AT5G66130,Co60_only
AT5G66140,Co60_only
AT5G66210,Co60_only
AT5G66230,Co60_only
AT5G66640,Co60_only
AT5G66650,Co60_only
AT5G66670,Co60_only
AT5G67310,Co60_only
AT5G67460,Co60_only
