gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT1G01830,-0.0205369888169079,0.851749629329409,no,none,-0.0481897635927193,0.647588871625456,no,none,neither
AT1G01840,-0.105068463842503,0.706523289905043,no,none,-0.276958497516438,0.258859264705469,no,none,neither
AT1G01860,-0.115924200848889,0.0902584474941183,no,none,-0.159168206371875,0.0175312792122707,no,none,neither
AT1G01880,-0.124349512324196,0.457996522521923,no,none,-0.0498824779261553,0.809632557251528,no,none,neither
AT1G01900,-0.325166110254761,0.00051857135390325,no,none,-0.202738207639731,0.0401105848127095,no,none,neither
AT1G01910,-0.012737788250537,0.777166535254566,no,none,0.0334688385106007,0.402947874036606,no,none,neither
AT1G01920,0.0308489926088317,0.657263075899606,no,none,-0.0282158765024031,0.708409870274859,no,none,neither
AT1G01930,0.00457032868046086,0.956293928229973,no,none,0.0126799102613485,0.882085889721804,no,none,neither
AT1G01940,-0.130740014130411,0.169303163418144,no,none,-0.0707164506374634,0.52966556749044,no,none,neither
AT1G01950,-0.0543795432201172,0.424094454125357,no,none,-0.0657113111267622,0.34204784480103,no,none,neither
AT1G01960,0.0767922542805463,0.166189562332717,no,none,0.0395000290042381,0.555399438555934,no,none,neither
AT1G01970,-0.112546820873421,0.0186379844015351,no,none,-0.0865134901408268,0.0870812836154174,no,none,neither
AT1G01980,-1.14208055351202,,no,none,-1.4093239070629,,no,none,neither
AT1G01990,-0.0285749147146347,0.693566841920491,no,none,-0.0103851419745787,0.906174979699671,no,none,neither
AT1G02000,-0.0391059196869109,0.716524013018803,no,none,0.00140752445905701,0.991707886611241,no,none,neither
AT1G02010,-0.0178760927315049,0.817713728414567,no,none,0.00144531766868584,0.988183860098415,no,none,neither
AT1G02020,-0.140115482386671,0.0584395821906036,no,none,-0.148984963331908,0.0470223945609942,no,none,neither
AT1G02030,-0.468494191185882,,no,none,-0.0801878391517593,0.935703373494693,no,none,neither
AT1G02050,-0.138901460699681,0.204960201482775,no,none,-0.0387412261310735,0.791336193125953,no,none,neither
AT1G02060,-0.0387043711868847,0.766830615543522,no,none,-0.107875075714275,0.350307220120039,no,none,neither
AT1G02065,-0.0803215552986544,0.72410642528944,no,none,0.0841203914635857,0.721288340121688,no,none,neither
AT1G02070,-0.316565518047191,,no,none,0.0836780566389235,0.92866787002509,no,none,neither
AT1G02080,0.034048161304045,0.55909856785511,no,none,-0.0130359379773966,0.859169349423195,no,none,neither
AT1G02090,-0.0090415594963332,0.901394146114844,no,none,-0.0410726282349437,0.513911837362317,no,none,neither
AT1G02100,-0.0372341441107165,0.483840720449227,no,none,-0.0125877809624007,0.853303028757459,no,none,neither
AT1G02110,-0.19165001547024,0.0259501110252858,no,none,-0.121049022492779,0.202577272772336,no,none,neither
AT1G02120,0.0227107714896042,0.755254697619966,no,none,0.0653156142663813,0.301271120277775,no,none,neither
AT1G02130,-0.00977613069506965,0.840874622751594,no,none,-0.0352971475432545,0.40053376022617,no,none,neither
AT1G02140,-0.0438987103392814,0.358244696787817,no,none,-0.00538793047939066,0.937672344097733,no,none,neither
AT1G02145,-0.0283147836312554,0.698123263714718,no,none,-0.0246543269097626,0.756406244502404,no,none,neither
AT1G02150,-0.127108712535645,0.00582578231702577,no,none,-0.132194447556793,0.00494218731345345,no,none,neither
AT1G02160,-0.125986842239244,0.151746876855365,no,none,-0.00955403369511642,0.944020038815269,no,none,neither
AT1G02170,0.107795044475241,0.111479273789986,no,none,0.0883909803212589,0.222084613026246,no,none,neither
AT1G02180,-0.302856480778765,0.00225766209421272,no,none,-0.187631030915456,0.0752359628551316,no,none,neither
AT1G02190,-0.602138619393269,,no,none,-0.249452973407075,0.707237513406515,no,none,neither
AT1G02205,-0.283650716210329,0.0155419502135116,no,none,-0.322001189728067,0.0064813929187071,no,none,neither
AT1G02220,0.00486888304528285,0.987742704532335,no,none,0.189969865121069,0.473473749761654,no,none,neither
AT1G02230,-0.324291081910485,0.382029675323215,no,none,-0.603487330048424,0.0801064805285142,no,none,neither
AT1G02250,-0.640696123646589,,no,none,-0.0714708282291019,,no,none,neither
AT1G02260,0.073201307506441,0.525491246672445,no,none,-0.0290672184783579,0.840436782390298,no,none,neither
AT1G02270,0.152316529786698,0.00842603181116604,no,none,0.166707817023631,0.00442649472496285,no,none,neither
AT1G02280,-0.184758155316473,0.000541391669082972,no,none,-0.163418865940858,0.00278289162563808,no,none,neither
AT1G02290,0.0644245412899288,0.440403634536483,no,none,-0.00992681203306521,0.93253241862679,no,none,neither
AT1G02300,0.0992681657977117,0.516274964948808,no,none,0.0982866182892693,0.545918794027763,no,none,neither
AT1G02305,0.0329662901095423,0.751775277722017,no,none,0.0506284580638368,0.627592491462491,no,none,neither
AT1G02310,0.713029052189092,0.443872775114524,no,none,1.38687505854413,0.101027482714159,no,none,neither
AT1G02330,-0.00856513987186906,0.911142370495833,no,none,-0.0203722472059965,0.790000670221128,no,none,neither
AT1G02335,-0.0952236903089671,0.721757227503099,no,none,-0.0956504920945981,0.737016627311584,no,none,neither
AT1G02340,0.0754183005297398,0.786847852101223,no,none,0.0414822933834877,0.89818689759835,no,none,neither
AT1G02350,-0.474302677947654,,no,none,0.25309242930293,0.519940811035144,no,none,neither
AT1G02360,0.385907215506629,0.165242233471896,no,none,0.396334490113844,0.164849773210548,no,none,neither
AT1G02370,0.0614058223732388,0.542900353756384,no,none,0.0495937705666602,0.660289393489432,no,none,neither
AT1G02380,-0.303269011101154,0.0801170298655312,no,none,-0.267063292810383,0.139267992619418,no,none,neither
AT1G02390,-0.283065896973982,0.249187318985021,no,none,-0.164137369831285,0.573313139147468,no,none,neither
AT1G02400,0.689046594406921,0.199510741256009,no,none,1.08802804282964,0.0340069988646988,yes,up,high_dose_only
