gene_id,baseMean_old,log2FC_old,padj_old,deg_flag_old,baseMean_new,log2FC_new,padj_new,deg_flag_new,status,direction_change
AT1G14150,943.7902464,-0.162764241,0.010239263,yes,772.069963007981,-0.159370826341696,0.0118218899212004,no,lost_DEG,
AT1G14160,79.66828617,-0.117065299,0.33560896,no,65.0609564706515,-0.103711841074228,0.413595136191981,no,both_non_DEG,
AT1G14170,243.866789,0.008453897,0.938500768,no,198.83451958825,0.0155439374073283,0.882169315167243,no,both_non_DEG,
AT1G14180,110.4387051,-0.244426342,0.001037407,yes,89.6194452557965,-0.248308524053405,0.000848927066071591,no,lost_DEG,
AT1G14185,54.16966825,-0.25956531,0.204729164,no,43.9243118961653,-0.25382431927398,0.239259200301631,no,both_non_DEG,
AT1G14190,35.94684255,-0.339741289,0.000810826,yes,29.0808377362014,-0.338083064047316,0.00147533731882946,no,lost_DEG,
AT1G14200,83.53330182,0.343815579,0.09404006,no,68.0180103375479,0.352545650492136,0.0914909080179986,no,both_non_DEG,
AT1G14205,39.83096929,-0.202633178,0.193324333,no,31.7797972152457,-0.194938312011207,0.231375417328227,no,both_non_DEG,
AT1G14210,500.3758598,-0.011123631,0.902293221,no,408.765325838361,-0.00606243255350165,0.950818377472658,no,both_non_DEG,
AT1G14220,30.94245089,-0.007835955,0.979521498,no,24.5026284655722,-0.00048641806212729,0.999122304530623,no,both_non_DEG,
AT1G14230,253.9348092,0.130528236,0.056402014,no,207.561160252444,0.132435068491941,0.0555940954523282,no,both_non_DEG,
AT1G14240,65.63678058,-0.210647906,0.104496911,no,52.9146646997738,-0.203965884443287,0.125279249045131,no,both_non_DEG,
AT1G14250,44.21840741,0.074779406,0.830311633,no,35.7057213243166,0.0676041641502854,0.868548453577625,no,both_non_DEG,
AT1G14260,22.52690248,-0.111506343,0.590543478,no,17.600733636237,-0.123113382946092,0.563198792580234,no,both_non_DEG,
AT1G14270,725.1437045,-0.144241357,0.000124443,yes,592.684069382206,-0.139529443415229,0.000166365807190997,no,lost_DEG,
AT1G14280,246.3279725,-0.217853718,0.061287904,no,200.73954480001,-0.213244736829403,0.0722543067967701,no,both_non_DEG,
AT1G14290,317.4069573,-0.144358218,0.19144621,no,258.971500402608,-0.135666773451788,0.228236879433307,no,both_non_DEG,
AT1G14300,228.0288183,-0.040772072,0.586788288,no,185.864007622128,-0.0370468696491889,0.641970543166238,no,both_non_DEG,
AT1G14310,124.0647789,0.214260835,0.000556477,yes,100.749918556329,0.218574687782541,0.000417482612872412,no,lost_DEG,
AT1G14320,10439.8023,-0.177729369,0.000256167,yes,8546.26684530986,-0.173628589995688,0.000342839422383393,no,lost_DEG,
AT1G14330,223.4808628,0.00030654,0.997470416,no,182.157156858822,0.00946057011201377,0.928260904026374,no,both_non_DEG,
AT1G14340,182.6865086,0.208875099,2.29e-05,yes,148.805814943072,0.21891904101357,8.78171748167285e-06,no,lost_DEG,
AT1G14345,1486.058595,-0.283182616,0.000122884,yes,1215.64014858211,-0.280075670215558,0.00015113585493065,no,lost_DEG,
AT1G14350,275.3717762,-0.008461082,0.956425697,no,224.773225027187,-0.00798530438387509,0.962327391155315,no,both_non_DEG,
AT1G14360,264.5890452,-0.123895799,0.395200986,no,216.156684198917,-0.119939398408724,0.423458707979573,no,both_non_DEG,
AT1G14370,159.1962597,0.818976937,1.66e-08,yes,130.047764471041,0.827633623113099,1.50480667988753e-08,no,lost_DEG,
AT1G14380,427.1038901,-0.207962147,0.001755064,yes,349.331778321004,-0.201919598475582,0.00250009313471504,no,lost_DEG,
AT1G14390,58.41999121,-0.080124948,0.525631866,no,47.4680379421851,-0.0657116238016073,0.632277980365826,no,both_non_DEG,
AT1G14400,1314.506211,-0.02179195,0.711337418,no,1075.98346778349,-0.0158245113215334,0.796199484591883,no,both_non_DEG,
AT1G14410,525.962351,-0.202104045,0.010374949,yes,429.85770892894,-0.199094980977495,0.0122079507904653,no,lost_DEG,
AT1G14420,2.16898738,-0.013387007,0.979155069,no,0.96886125679051,-0.0885650126841435,0.905171708156834,no,both_non_DEG,
AT1G14430,115.6043351,-0.451437707,1.41e-05,yes,93.7695546838163,-0.448544667148115,2.16332395864064e-05,no,lost_DEG,
AT1G14440,217.7022422,-0.391490245,4.71e-05,yes,177.422077593955,-0.395581917905218,3.53846498062976e-05,no,lost_DEG,
AT1G14450,675.9612646,-0.048603522,0.352271489,no,552.970287531578,-0.0435758833495241,0.422630728751011,no,both_non_DEG,
AT1G14453,2.603802259,-0.187932564,0.680045593,no,1.57247273954337,-0.224473819206856,0.80065129117339,no,both_non_DEG,
AT1G14455,2.667532517,0.43343772,0.182408174,no,1.37953285834344,0.714549637207663,0.13460192828759,no,both_non_DEG,
AT1G14460,294.45668,-0.043152338,0.450144036,no,240.27869679976,-0.0435550418744321,0.448628914971953,no,both_non_DEG,
AT1G14470,25.9485993,0.140295352,0.296043748,no,20.4490592403218,0.172270597758677,0.223316751707156,no,both_non_DEG,
AT1G14480,48.7983185,0.828119293,2.61e-10,yes,39.1251701045396,0.84143895477561,6.24050254029115e-10,no,lost_DEG,
AT1G14490,22.45536853,-0.269419366,0.092357766,no,17.583149436874,-0.303666038809871,0.0628404076924917,no,both_non_DEG,
AT1G14500,3.367906012,0.048017795,0.902612884,no,1.9576243215206,0.169087369782051,0.730641895444624,no,both_non_DEG,
