gene_id,lfc_40cGy,padj_40cGy,deg_40cGy,dir_40cGy,lfc_80cGy,padj_80cGy,deg_80cGy,dir_80cGy,dose_category
AT1G02220,-0.160570047534412,,no,none,-0.425221623911767,1,no,none,neither
AT1G02230,-0.0489750741069304,,no,none,-0.383254995188628,1,no,none,neither
AT1G02260,0.0640836981722948,0.999808032263671,no,none,0.227238501153098,1,no,none,neither
AT1G02270,0.0879223446121351,0.999808032263671,no,none,-0.0216311278376327,1,no,none,neither
AT1G02280,-0.110885430093586,0.999808032263671,no,none,-0.0833041539168585,1,no,none,neither
AT1G02290,0.157675747605979,0.999808032263671,no,none,0.106111005477822,1,no,none,neither
AT1G02300,0.110663529262496,0.999808032263671,no,none,0.143287101909526,1,no,none,neither
AT1G02305,0.126001095307582,0.999808032263671,no,none,0.122301548334266,1,no,none,neither
AT1G02310,0.915947094561046,,no,none,0.121366422320783,1,no,none,neither
AT1G02330,-0.13770581369152,0.999808032263671,no,none,-0.042475772333881,1,no,none,neither
AT1G02335,-0.249744452434469,0.999808032263671,no,none,-0.353051153973255,1,no,none,neither
AT1G02340,0.108985511327384,0.999808032263671,no,none,-0.0768381554373012,1,no,none,neither
AT1G02350,0.336720314100203,,no,none,-0.171068368294818,1,no,none,neither
AT1G02360,-0.327751944187649,0.999808032263671,no,none,-0.237768093973222,1,no,none,neither
AT1G02370,0.129258447859061,0.999808032263671,no,none,-0.157825551477208,1,no,none,neither
AT1G02380,0.195074203429775,0.999808032263671,no,none,0.446141767894873,1,no,none,neither
AT1G02390,0.441423015469032,,no,none,0.0645010672889045,1,no,none,neither
AT1G02400,0.0973948026428906,0.999808032263671,no,none,-0.00372611811950849,1,no,none,neither
AT1G02405,0.382731779410216,,no,none,0.82031493361457,1,no,none,neither
AT1G02410,-0.110832989444453,0.999808032263671,no,none,-0.134347352739213,1,no,none,neither
AT1G02420,-0.20984798216254,0.999808032263671,no,none,-0.326839253748424,1,no,none,neither
AT1G02460,-0.845672664349409,,no,none,-0.140163841256081,1,no,none,neither
AT1G02470,0.144550708875442,0.999808032263671,no,none,0.0587037979111542,1,no,none,neither
AT1G02475,0.111312651457619,0.999808032263671,no,none,-0.0920863216448436,1,no,none,neither
AT1G02500,-0.0747362326481231,0.999808032263671,no,none,-0.119589285866754,1,no,none,neither
AT1G02520,-0.0742904832553718,0.999808032263671,no,none,0.00813559230760152,1,no,none,neither
AT1G02530,-0.374463224132253,,no,none,-0.267525751799409,1,no,none,neither
AT1G02560,-0.0378263280705551,0.999808032263671,no,none,-0.0859336960319145,1,no,none,neither
AT1G02570,0.723174591946585,,no,none,0.600401512622466,1,no,none,neither
AT1G02575,0.163547822553767,,no,none,0.0393654431920685,1,no,none,neither
AT1G02580,0.196075756772156,,no,none,0.350196280798495,1,no,none,neither
AT1G02610,0.12821622500831,0.999808032263671,no,none,0.306684663140881,1,no,none,neither
AT1G02620,0.268637135947719,,no,none,0.529183089988655,1,no,none,neither
AT1G02630,-0.980748916128276,,no,none,-0.0744076337202775,1,no,none,neither
AT1G02640,-0.0207491345559422,0.999808032263671,no,none,-0.182395436277275,1,no,none,neither
AT1G02650,0.249389148656277,0.999808032263671,no,none,0.409408605113321,1,no,none,neither
AT1G02660,0.195046195506872,0.999808032263671,no,none,0.186315693656511,1,no,none,neither
AT1G02670,0.222687759924869,0.999808032263671,no,none,0.268077386328355,1,no,none,neither
AT1G02680,0.0290098365331769,0.999808032263671,no,none,0.108348879004708,1,no,none,neither
AT1G02690,0.011233348133889,0.999808032263671,no,none,-0.0627774121958726,1,no,none,neither
AT1G02700,0.272748620549758,,no,none,0.404015197218037,1,no,none,neither
AT1G02720,-0.367697080585057,0.999808032263671,no,none,-0.305301565791864,1,no,none,neither
AT1G02730,-0.397358494966677,0.999808032263671,no,none,-0.428472285985349,1,no,none,neither
AT1G02740,0.348622408597357,0.999808032263671,no,none,0.18217417457137,1,no,none,neither
AT1G02750,0.15886720921713,0.999808032263671,no,none,0.233130398010345,1,no,none,neither
AT1G02770,-0.474689820778574,,no,none,-0.479042879478194,1,no,none,neither
AT1G02780,-0.0344150304941026,0.999808032263671,no,none,-0.108266268450988,1,no,none,neither
AT1G02800,-0.841065196739515,,no,none,-1.24045793577519,1,no,none,neither
AT1G02810,-0.544306413152742,,no,none,-0.163435460551655,1,no,none,neither
AT1G02816,0.0847388802794846,0.999808032263671,no,none,0.132999589996441,1,no,none,neither
AT1G02820,-0.443862214332364,,no,none,-0.132444568944606,1,no,none,neither
AT1G02840,0.0121888021309001,0.999808032263671,no,none,0.153476728051597,1,no,none,neither
AT1G02850,0.0852114990094899,0.999808032263671,no,none,0.0294522386557422,1,no,none,neither
AT1G02860,0.153951260556753,0.999808032263671,no,none,0.181549164303394,1,no,none,neither
AT1G02870,-0.168269290408723,0.999808032263671,no,none,-0.105115063806309,1,no,none,neither
AT1G02880,-0.180928159472265,0.999808032263671,no,none,-0.198260042039776,1,no,none,neither
AT1G02890,-0.00496677850160831,0.999808032263671,no,none,-0.022828417438869,1,no,none,neither
AT1G02900,-0.0267481111211816,0.999808032263671,no,none,-0.166138929602601,1,no,none,neither
AT1G02910,-0.0762320874136223,0.999808032263671,no,none,-0.110605561921067,1,no,none,neither
AT1G02920,-0.619615739834994,0.999808032263671,no,none,-0.777408743308687,1,no,none,neither
AT1G02930,-0.139692663157649,0.999808032263671,no,none,-0.269106477939623,1,no,none,neither
AT1G02950,-0.311231930684838,,no,none,0.203808030920101,1,no,none,neither
AT1G02960,0.0764257071342843,0.999808032263671,no,none,0.131093789102419,1,no,none,neither
AT1G02970,0.2367909037685,,no,none,0.139884763779911,1,no,none,neither
AT1G02990,0.0238334006291186,0.999808032263671,no,none,-0.0510476332684757,1,no,none,neither
AT1G03000,0.086438940738437,0.999808032263671,no,none,0.055924248162084,1,no,none,neither
AT1G03010,0.087461139095593,0.999808032263671,no,none,-0.00689571214853184,1,no,none,neither
AT1G03030,-0.00404398005501037,0.999808032263671,no,none,-0.134266248721558,1,no,none,neither
AT1G03040,-0.0664090824545828,0.999808032263671,no,none,-0.0283958201630353,1,no,none,neither
AT1G03055,2.92464480283388,,no,none,1.6546668895705,1,no,none,neither
AT1G03060,0.0845150113764215,0.999808032263671,no,none,0.0329736981383875,1,no,none,neither
AT1G03070,0.256573680467542,,no,none,-0.980116537181309,1,no,none,neither
AT1G03080,0.076825749286479,0.999808032263671,no,none,0.0490342419403684,1,no,none,neither
AT1G03090,0.265612083598153,0.999808032263671,no,none,0.300492674436177,1,no,none,neither
AT1G03100,-0.205873338779061,,no,none,-0.300192544428107,1,no,none,neither
AT1G03103,0.412727645864919,,no,none,-0.0842213218573926,1,no,none,neither
AT1G03106,0.342693449321817,,no,none,1.51549483313626,1,no,none,neither
AT1G03110,-0.191429974203743,0.999808032263671,no,none,-0.292416100279547,1,no,none,neither
AT1G03120,0.49044845111968,,no,none,-0.0231647999774239,1,no,none,neither
AT1G03130,-0.118350935572921,0.999808032263671,no,none,0.0326034635578989,1,no,none,neither
AT1G03140,0.0416579829934718,0.999808032263671,no,none,0.0991452287321161,1,no,none,neither
AT1G03150,0.0225763989265347,0.999808032263671,no,none,-0.0246084075705806,1,no,none,neither
AT1G03160,0.198687059989667,0.999808032263671,no,none,0.135487769731442,1,no,none,neither
AT1G03165,0.426362131405878,,no,none,-0.0797893718711408,1,no,none,neither
AT1G03170,0.1967286216437,0.999808032263671,no,none,0.487182509212027,1,no,none,neither
AT1G03180,-0.209217678719388,,no,none,-0.607323701865763,1,no,none,neither
AT1G03190,-0.107453520534402,0.999808032263671,no,none,0.114995632196378,1,no,none,neither
AT1G03200,0.0752781390746437,0.999808032263671,no,none,-0.00236911879302474,1,no,none,neither
AT1G03210,0.0857811754180447,0.999808032263671,no,none,0.139691571299548,1,no,none,neither
AT1G03220,-0.0593044809408768,0.999808032263671,no,none,-0.082343567757208,1,no,none,neither
