gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT3G22910,1.17744831858498,0.0235660226405327,yes,up,1.61295757246748,0.00176642428711545,yes,up,dose_increasing
AT3G23250,1.45029773304569,0.0160599774884894,yes,up,1.35743111974208,0.0287215675807266,yes,up,dose_plateau
AT3G25250,1.30511788105961,0.0325554513116473,yes,up,2.11323561889295,0.000393505489201106,yes,up,dose_increasing
AT3G26200,1.23500474833879,0.00904610643907646,yes,up,1.83629537133359,0.000101074782213547,yes,up,dose_increasing
AT3G45060,1.22028689886849,0.0400007690550912,yes,up,2.07607824888567,0.00033261772554005,yes,up,dose_increasing
AT3G46080,1.6308847646259,0.0250358324891759,yes,up,2.1234291219388,0.00331267856737584,yes,up,dose_increasing
AT3G53600,2.20137961094522,0.0116121118913269,yes,up,2.64792539730547,0.00252096258294911,yes,up,dose_increasing
AT3G56970,-1.50908464527301,3.39615750983743e-05,yes,down,-1.27900935630454,0.000634879439862962,yes,down,dose_plateau
AT3G56980,-1.29139699572885,0.000575073062863521,yes,down,-1.23695210876372,0.00120571704973659,yes,down,dose_plateau
AT4G01360,1.08628481166163,0.0465364851929008,yes,up,1.3506911982174,0.013050647166202,yes,up,dose_increasing
AT4G11170,1.4721039903442,0.0187145062811791,yes,up,1.36676644130531,0.0347121321136281,yes,up,dose_plateau
AT4G13395,1.45901128782963,0.022016481684752,yes,up,2.0029425375363,0.00145599138644941,yes,up,dose_increasing
AT4G14370,1.19765775011257,0.0263697187811861,yes,up,1.91413765812917,0.000299242591285993,yes,up,dose_increasing
AT4G28085,1.03429583751167,0.0272012042832704,yes,up,1.0929256205328,0.0213616117483119,yes,up,dose_increasing
AT4G30280,1.68990793725145,0.000632737179391863,yes,up,1.72590782518605,0.000578643097434813,yes,up,dose_increasing
AT4G33020,4.03185708756272,2.37675317780097e-08,yes,up,2.12253478494766,0.00736036975132478,yes,up,dose_plateau
AT5G01380,1.45657148895698,0.0277459775997088,yes,up,1.79890066358721,0.00623695137829217,yes,up,dose_increasing
AT5G05220,1.70180415659061,0.0267855667007355,yes,up,2.14688059732236,0.00473492137718462,yes,up,dose_increasing
AT5G36907,1.7464460172751,0.0033518226174402,yes,up,1.30853022657873,0.0392740710228677,yes,up,dose_plateau
AT5G36925,1.25829644773688,0.00477507916253554,yes,up,1.1064259342555,0.0170443405422809,yes,up,dose_plateau
AT5G39720,1.11901245158484,0.029285892577948,yes,up,1.43212537285708,0.0046858980725729,yes,up,dose_increasing
AT5G43650,2.74692851903283,0.00692782509217707,yes,up,3.25306039553868,0.00154269687547071,yes,up,dose_increasing
AT5G57510,2.66960424020063,0.00321806120182543,yes,up,3.05197191209668,0.000900620642362075,yes,up,dose_increasing
AT5G59820,1.52946877512542,0.0134985957778554,yes,up,2.05724423399413,0.000875882949030417,yes,up,dose_increasing
AT5G61890,1.13207710144355,0.0333100343648235,yes,up,1.07868036746652,0.0486292238131738,yes,up,dose_plateau
AT5G64750,1.22877991111101,0.0395538488679405,yes,up,1.75528555944636,0.00276429805946753,yes,up,dose_increasing
AT5G67080,1.82320286101541,0.0206116713574962,yes,up,2.61633669514721,0.000804655430065304,yes,up,dose_increasing
