gene_id,radiation_effect,genotype_interaction,Cs137_100cGy,Cs137_10cGy,GCR80,GCR40
AT2G26560,1.13981107307085,-1.32359969358689,1.19273337935081,0.621964899762556,0.221126011550768,0.0712919637941408
AT2G29110,1.5480432965435,1.3300404510238,1.33229058070699,0.411176694678647,-0.70610524724884,-0.277395979990838
AT2G30250,1.89260584726613,-2.82369170704818,0.825278910530854,0.646666113629769,0.290912437841704,0.160446820190161
AT2G30360,2.20061497359324,-4.31422185317188,1.165154056728,0.803908538145572,0.943412993511004,0.656791851480324
AT2G31320,1.48506022826057,-2.53500706643702,0.13819121244096,-0.0975519157764181,0.597429179198753,0.478497328750461
AT2G31945,1.17608378666611,-0.609388935050088,1.32566295773289,0.947843542942933,0.158508821586453,0.0302119580395843
AT2G32020,1.08814854028208,-1.1629639614036,0.169445485049685,-0.0193975467057126,-0.892483228632685,-0.628190957954303
AT2G32130,1.33051966550922,0.415149158009476,1.52954969745543,1.05556665453078,,
AT2G32190,1.16984898396784,-0.601851591296831,1.37159572048217,1.11674484762612,0.552752245700796,1.13627922940436
AT2G32200,3.51860761877348,1.08523608369014,1.03537827140195,0.848302228243615,0.663985496824917,-0.145493347140852
AT2G32210,1.6912472948069,-0.411109272771925,1.26691134665966,1.03504775110873,-0.5462766664156,-0.135190150026468
AT2G35070,1.56683818638823,-2.9183416719971,0.771559527045395,0.354359425432203,0.145604821208399,-1.05172081369586
AT2G35980,1.15992655316192,-0.949211965268753,2.2237851014646,1.46671731538042,-0.0617771740522358,-0.434056964886007
AT2G36770,0.844015197554429,-0.340600715920889,1.46516372768066,1.20257285643193,-0.410721633324142,-0.258692402647726
AT2G36780,2.2552524878464,-4.14644697093113,1.62437642960729,1.01463200729633,-1.0989731215069,-0.35451804214931
AT2G37430,1.75521229727004,-0.859327126995085,1.64779284149409,1.52873189516816,,
AT2G38250,2.13764467348003,-1.67846954925611,0.899910868193166,0.635085985533586,0.119727811417986,0.222812203512077
AT2G38340,3.44433705544791,-2.92617588559255,1.48947520986841,0.971488831566798,0.726213758667014,0.301646159471039
AT2G38790,4.81073796785997,-0.844960277334588,,,0.168215029809785,0.135222948215044
AT2G39200,0.294006521622481,-0.152291911743649,1.44024418730008,1.25364324806278,-0.237141700594201,-0.209151321628258
AT2G39650,1.95038601858817,-1.59068941514573,0.0946725699665531,0.0192440266689721,0.270269465628695,-0.166001733487873
