,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G40010,24.01046236,1.127629636,0.178060947,6.332829586,2.41E-10,1.26E-08,yes
AT3G45930,377.2112145,-0.546177649,0.086268245,-6.331155184,2.43E-10,1.27E-08,yes
AT1G23000,195.6705577,1.000289694,0.158118131,6.326217532,2.51E-10,1.31E-08,yes
AT2G19710,237.4538635,0.502634791,0.079518265,6.320997955,2.60E-10,1.35E-08,yes
AT2G38360,374.4193541,0.403363088,0.06382301,6.320026114,2.62E-10,1.35E-08,yes
AT5G59390,7.682890891,1.79962028,0.284747208,6.320062947,2.61E-10,1.35E-08,yes
AT4G39670,59.1792656,0.780866524,0.123649334,6.315169657,2.70E-10,1.39E-08,yes
AT5G67360,3948.046007,0.816476384,0.129343769,6.312452391,2.75E-10,1.41E-08,yes
AT3G16650,74.60961175,0.809271557,0.128310238,6.307147205,2.84E-10,1.46E-08,yes
AT4G25900,603.8940315,0.331916299,0.052654853,6.30362213,2.91E-10,1.49E-08,yes
AT2G38290,261.1365402,0.638418847,0.101302951,6.302075498,2.94E-10,1.50E-08,yes
AT1G27820,4.161782556,1.912331239,0.303616697,6.298504843,3.01E-10,1.53E-08,yes
AT2G21910,4.72060398,2.630195386,0.417769431,6.295806228,3.06E-10,1.56E-08,yes
AT5G43420,139.8252689,0.775800241,0.123322845,6.290807203,3.16E-10,1.60E-08,yes
AT4G11740,490.1860611,0.80177895,0.127473989,6.289745509,3.18E-10,1.61E-08,yes
AT1G34750,124.1845291,0.519304232,0.082592428,6.287552539,3.23E-10,1.63E-08,yes
AT1G07510,895.9261108,0.521783269,0.082999235,6.286603348,3.24E-10,1.64E-08,yes
AT1G75700,27.14492344,1.656983907,0.263580783,6.28643669,3.25E-10,1.64E-08,yes
AT4G13395,14.56865413,2.441066899,0.38845308,6.284071425,3.30E-10,1.66E-08,yes
AT1G14640,47.8551396,0.761964635,0.121260337,6.283708689,3.31E-10,1.66E-08,yes
AT1G14370,159.1962597,0.818976937,0.130349436,6.282934249,3.32E-10,1.66E-08,yes
AT3G53400,219.2748321,0.415024095,0.066077474,6.280871053,3.37E-10,1.68E-08,yes
AT1G04313,10.1394072,1.542655463,0.245688845,6.278899068,3.41E-10,1.70E-08,yes
AT5G58070,1581.3542,0.854319993,0.136066229,6.278707045,3.41E-10,1.70E-08,yes
AT2G32020,48.04102024,1.063358581,0.16938842,6.277634452,3.44E-10,1.71E-08,yes
AT5G07790,109.8335653,0.729921875,0.116372689,6.272278163,3.56E-10,1.76E-08,yes
AT1G33970,250.5580636,0.412728624,0.065955819,6.257652911,3.91E-10,1.93E-08,yes
AT1G10340,36.65506728,1.550701512,0.247827972,6.25716904,3.92E-10,1.93E-08,yes
AT1G56060,8.342130773,2.297238507,0.367197539,6.256138084,3.95E-10,1.94E-08,yes
AT3G13510,458.0223515,-0.407432342,0.065145149,-6.254223811,3.99E-10,1.96E-08,yes
AT4G18501,15.47562692,-0.919246705,0.147026135,-6.252267348,4.05E-10,1.98E-08,yes
AT4G16950,1588.060834,0.510214255,0.08169358,6.245463286,4.23E-10,2.07E-08,yes
AT1G09340,15153.57054,-0.223808035,0.035861907,-6.24082919,4.35E-10,2.12E-08,yes
AT3G50910,436.8372377,0.302534805,0.048516431,6.235718476,4.50E-10,2.19E-08,yes
