"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G42210",49.9129699265395,-1.72923869392998,0.295695947745035,-5.84802973161142,4.97429658358406e-09,1.24553211370019e-06
"AT3G12510",70.2308632923879,-2.01931585235188,0.345744760055642,-5.8404814349953,5.20501856850373e-09,1.28755652589006e-06
"AT5G07620",76.7806395750996,-2.03629973540048,0.348741234410425,-5.83899904708146,5.25153700494734e-09,1.28755652589006e-06
"AT5G51740",199.437364361201,-1.3277953043988,0.227535637493747,-5.83554874754638,5.36138182714471e-09,1.30093653675778e-06
"AT1G28470",46.2066808820521,-1.29807698336879,0.222940533582289,-5.82252568660716,5.79648874067714e-09,1.39216281111549e-06
"AT1G12020",188.767421325211,-1.14270796309746,0.196484334345098,-5.81577135350877,6.03549182120046e-09,1.43492293934945e-06
"AT4G35030",190.092938051655,-1.59894662877362,0.275096986252601,-5.8123015106586,6.16197260983825e-09,1.45034349317763e-06
"AT3G20490",208.522773138811,-1.80817610370789,0.311408388219857,-5.80644636467308,6.38127014595774e-09,1.48708866757829e-06
"AT3G13380",253.150625609292,-1.40697316159974,0.243544095163244,-5.7770777019113,7.60091896257365e-09,1.75394931002055e-06
"AT5G07790",120.188199228069,-1.2601418545363,0.219131393965422,-5.75062218029402,8.89156188387323e-09,2.03185137923033e-06
"AT1G78110",209.545034680271,-1.18723736136792,0.207552301450727,-5.72018403587674,1.06408733437696e-08,2.39860443237498e-06
"AT5G40090",37.9817334399517,-1.70402572976801,0.297946319495404,-5.71923738696928,1.07003214258135e-08,2.39860443237498e-06
"AT5G49990",263.598097536181,-1.42810524819917,0.249935569081848,-5.71389359843975,1.10420054911788e-08,2.45184606835731e-06
"AT2G21790",1993.77297416474,-1.68185078848547,0.295236205959778,-5.69662783403538,1.22200274657693e-08,2.68806342487675e-06
"AT2G34920",120.395323251646,-1.42876220784788,0.251365237985369,-5.68400873286642,1.31573554232565e-08,2.8674506907147e-06
"AT3G27070",19.603934288259,-2.24801914808408,0.395940059025135,-5.67767543809294,1.36537464367145e-08,2.9115541837818e-06
"AT4G24580",70.6402321468106,-1.49200124744626,0.262828416224564,-5.67671208797862,1.37308286697447e-08,2.9115541837818e-06
"AT4G28950",171.441139307829,-2.28273749926784,0.402045478442431,-5.6778091575894,1.36430801848662e-08,2.9115541837818e-06
"AT1G20120",23.2766006108821,-3.14644914579664,0.555245141195065,-5.66677474930168,1.45510426600668e-08,3.05792759901779e-06
"AT5G63970",119.898265584886,-0.720809453347872,0.127531470758921,-5.65201239394826,1.58580153254725e-08,3.30309828951899e-06
"AT5G11100",73.2244136514154,-1.02700978442874,0.181908698692772,-5.64574312173641,1.64469265294891e-08,3.39571324319811e-06
"AT4G22910",196.270059780564,-0.800546695212923,0.142421409118385,-5.62097159527105,1.89886494874507e-08,3.88639863466198e-06
"AT1G62730",129.31046093994,-1.2881097372259,0.229445603113506,-5.61400924553206,1.97691644510364e-08,3.97698139900892e-06
"AT1G80850",181.597404582042,-1.12056267268618,0.199576423207587,-5.61470465637438,1.96898261782643e-08,3.97698139900892e-06
"AT4G33160",110.186687347447,-1.56687867504548,0.280186949674544,-5.59226144138946,2.24130987419955e-08,4.47065343296905e-06
"AT5G02220",49.5831502725393,-2.61566995575752,0.46900623526786,-5.57704729504001,2.4463537521775e-08,4.83864103067241e-06
"AT1G67780",44.2643150154538,1.06973994290734,0.192469577325679,5.55796899318389,2.72931854096909e-08,5.35333087489913e-06
"AT1G02520",294.171181275014,-1.58785586855347,0.286263046896548,-5.54684191958348,2.90875502482256e-08,5.65812950572302e-06
"AT1G70440",30.7192175708856,-2.95700262661284,0.534299303289115,-5.53435613411754,3.12373703200587e-08,6.02650807560017e-06
"AT5G66120",1451.74481567392,-0.687748047896918,0.124832684133172,-5.5093588083328,3.60143131926193e-08,6.89161698873724e-06
"AT1G72790",263.324594870976,-1.59080047845783,0.290366191198747,-5.47860090698016,4.28702080871888e-08,8.0722887019853e-06
"AT3G02670",14.0766671410197,-3.59114701334435,0.655423806812646,-5.4791220215333,4.27441518731466e-08,8.0722887019853e-06
"AT1G28410",218.690159184135,-1.14293116718543,0.209022355845422,-5.46798529067705,4.55179645075608e-08,8.50282802074967e-06
"AT5G15540",766.241085597722,-1.49226583769334,0.273207074425922,-5.46203219967484,4.70714670996122e-08,8.72378835530372e-06
"AT4G01450",518.757220314831,-0.95064073308711,0.174744352309677,-5.4401800145301,5.32267607976727e-08,9.78748647574079e-06
"AT3G15240",165.115152853512,-1.23250797680219,0.227235939708981,-5.42391304113538,5.83082564069954e-08,1.06387707833446e-05
"AT1G21090",133.437933053418,0.829886586792525,0.15312354971119,5.41971883722521,5.96928401257632e-08,1.08076182926161e-05
"AT5G47950",139.523167687763,-1.49643140169671,0.276315140884747,-5.41566921343944,6.10598944358971e-08,1.09707384376924e-05
"AT1G66810",48.4105143548797,-1.70999753657725,0.31677918431027,-5.39807418312685,6.73600170150313e-08,1.2011005458203e-05
"AT1G66040",72.0078201447416,-4.6222987020364,0.858424500547049,-5.3846304469301,7.2593640933017e-08,1.28468911777475e-05
"AT4G22250",96.437709951538,-1.60449601155989,0.298352423063937,-5.37785480366636,7.53785658062508e-08,1.32401888312069e-05
"AT1G10040",84.4384523864617,-1.82004293767753,0.339613684685925,-5.35915665283248,8.36113330969806e-08,1.45774810896565e-05
"AT5G22010",597.129916613661,-1.27595138738562,0.238270051107633,-5.35506406052364,8.55261106097832e-08,1.48016769516358e-05
