,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT1G58180,268.1968157,0.387124445,0.08508597,4.5498035,5.37E-06,0.00038028,yes
AT2G16800,424.4799307,-0.178846877,0.039304525,-4.550287213,5.36E-06,0.00038028,yes
AT4G32300,449.1325121,0.337736869,0.074235873,4.549510291,5.38E-06,0.00038028,yes
AT4G34830,2778.309977,-0.198357668,0.04358083,-4.551488969,5.33E-06,0.00038028,yes
AT3G08740,2633.123446,-0.224661128,0.049398099,-4.547971164,5.42E-06,0.000381745,yes
AT1G74940,142.7850703,0.404020478,0.08889713,4.544809005,5.50E-06,0.000386166,yes
AT5G62840,358.3419201,-0.220355693,0.048492767,-4.544093992,5.52E-06,0.000386166,yes
AT3G16800,219.4319132,0.286678476,0.063100951,4.543172056,5.54E-06,0.000386532,yes
AT5G10400,413.8938265,-0.235451677,0.051842901,-4.541637764,5.58E-06,0.000388027,yes
AT5G08660,399.6790783,0.342760488,0.075497544,4.540021698,5.62E-06,0.000389683,yes
AT1G63720,31.0133798,0.876015392,0.193011627,4.538666419,5.66E-06,0.000390866,yes
AT1G60230,427.4489501,-0.224664376,0.049523252,-4.536543324,5.72E-06,0.000393486,yes
AT1G53240,5106.457739,-0.161262607,0.035570412,-4.533616466,5.80E-06,0.000397637,yes
AT1G26230,414.6200515,-0.205246893,0.045375092,-4.523338315,6.09E-06,0.000414694,yes
AT5G43750,1964.831999,-0.126623558,0.027993491,-4.523321448,6.09E-06,0.000414694,yes
AT2G38140,2268.573787,-0.238739875,0.052836484,-4.518466382,6.23E-06,0.000421497,yes
AT4G36010,196.9099971,0.544280874,0.120447764,4.518812606,6.22E-06,0.000421497,yes
AT4G30280,46.89058277,1.643220285,0.363759854,4.51732171,6.26E-06,0.000422378,yes
AT4G25230,696.5807231,0.137621734,0.030484519,4.51447937,6.35E-06,0.000426669,yes
AT2G35410,1397.608099,-0.156760877,0.034772889,-4.50813503,6.54E-06,0.00043818,yes
AT1G11530,180.2064241,0.263470799,0.058475523,4.505659574,6.62E-06,0.000441866,yes
AT3G63490,6934.629255,-0.196599711,0.043660645,-4.502904359,6.70E-06,0.000446173,yes
AT2G41680,3384.188668,-0.144175445,0.032026808,-4.501711351,6.74E-06,0.000447223,yes
AT3G60840,89.43947933,-0.341566969,0.075943055,-4.497672192,6.87E-06,0.000452852,yes
AT5G59970,369.9503292,-0.229531287,0.051027987,-4.49814501,6.85E-06,0.000452852,yes
AT2G28190,4903.310052,-0.28007124,0.062292376,-4.496075737,6.92E-06,0.000454792,yes
AT2G37940,478.460588,0.213590024,0.047520285,4.494712577,6.97E-06,0.000456243,yes
AT1G18390,66.6594799,0.745795055,0.165968474,4.493594695,7.00E-06,0.000457176,yes
AT5G22340,1106.64924,-0.171206941,0.038116553,-4.491669035,7.07E-06,0.000459856,yes
AT3G53130,737.7485843,-0.173040719,0.038539656,-4.489939351,7.12E-06,0.00046213,yes
