"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G46030",1255.61651160233,-0.432307127458938,0.0542351158286668,-7.97098191556614,1.57418547710277e-15,2.86000349606665e-13
"AT2G30360",474.521596586464,2.20061497359324,0.276285383965326,7.96500684187266,1.65214636146012e-15,2.97957307408326e-13
"AT1G60730",399.790282545647,0.588996329455574,0.0739839055780125,7.96114134356567,1.70459529473189e-15,3.05172326962693e-13
"AT5G61740",25.6247623180214,3.44676735812552,0.434490702436382,7.93289094288547,2.14102435054921e-15,3.80528291637104e-13
"AT1G49050",283.535068040376,1.17100659598903,0.147985772160081,7.91296743529038,2.51325115312547e-15,4.43471302393586e-13
"AT4G33050",290.860682691814,1.51523408428478,0.191552848827565,7.91026650639267,2.56838467797046e-15,4.49962649975582e-13
"AT2G32930",112.527624350836,0.817736423760192,0.103713506146574,7.88457023721209,3.15619844564996e-15,5.49021838840117e-13
"AT5G18270",171.016171649052,1.38950475959202,0.176604464817333,7.86789145466521,3.60668292287867e-15,6.22965577812994e-13
"AT1G42990",361.817051546892,0.775592577115732,0.0986644607128411,7.86091133030223,3.8134867543775e-15,6.49537427948728e-13
"AT3G02840",16.8912480675579,3.74980790846355,0.476985619538302,7.86146951787179,3.79652827168039e-15,6.49537427948728e-13
"AT3G56710",29.3785535399837,2.27218688829555,0.28924114511156,7.85568349004831,3.97597950193289e-15,6.7254378788902e-13
"AT4G16890",1587.80592737724,0.492607540542716,0.0628478803803685,7.83809314747533,4.57439644776938e-15,7.68467271742737e-13
"AT4G17710",4.30979904382355,3.57497972159301,0.456171109447963,7.83692708185595,4.61705984865818e-15,7.70358006177137e-13
"AT3G10500",395.187283252999,1.24763852168686,0.159460909445845,7.8241026344489,5.11290821847009e-15,8.47326350502809e-13
"AT1G59660",270.993280372135,1.66478059846569,0.212951216758722,7.817661827929,5.38135249825987e-15,8.85828407549126e-13
"AT1G44130",9.38287291728948,3.46810460984071,0.443838536708547,7.81388798629284,5.54503776567662e-15,9.00683054826162e-13
"AT4G18253",47.5974880132675,2.00728639859255,0.256876472059014,7.81420883938097,5.53093265669608e-15,9.00683054826162e-13
"AT3G61090",11.3475498855789,2.96702994532277,0.380148589561472,7.8049216195842,5.95385362592941e-15,9.6072478870507e-13
"AT5G47230",130.736772790009,1.70488447447765,0.220043066491927,7.74795816863515,9.3381889836966e-15,1.49697883139298e-12
"AT5G65300",35.9507015116476,1.37237042139589,0.177161783838861,7.74642471789596,9.45160059476745e-15,1.50532082979131e-12
"AT4G32020",2598.41497629306,0.7319609475844,0.0946126166651964,7.73639894322524,1.02272204435279e-14,1.61520313593835e-12
"AT5G46710",108.594270831333,1.55212576652336,0.200641197127746,7.73582787953135,1.02732372163894e-14,1.61520313593835e-12
"AT3G21850",19.2249650512338,6.22079862319981,0.80515025607076,7.72625801991064,1.1075402985257e-14,1.73023190458216e-12
"AT2G24960",69.9569090221959,0.616308013838554,0.0797769809333984,7.72538652914275,1.1151443933151e-14,1.73108522372401e-12
"AT1G80840",142.373265046175,3.21222777259634,0.415866250661094,7.7241848009785,1.12571426174036e-14,1.73650274828339e-12
"AT2G31880",555.744761946844,1.55137867829693,0.200912984791591,7.72164467073237,1.14838160043202e-14,1.76039721961226e-12
"AT1G24140",17.1850679669718,2.02076413043901,0.262157057332419,7.70821945821831,1.27585216534258e-14,1.94365379250667e-12
"AT3G51920",396.629763208375,0.808384335326611,0.104953876474577,7.70228182588786,1.33657697990328e-14,2.02359404852393e-12
"AT1G07790",619.647488282848,-0.715636078122953,0.092983926044153,-7.6963418148545,1.40016946882267e-14,2.09715198177377e-12
"AT5G18470",109.257108517822,1.40611699095576,0.18270392796076,7.69615085263934,1.40226250666978e-14,2.09715198177377e-12
"AT1G76680",1781.20164402463,0.645505607440713,0.0839563731366391,7.68858376469111,1.48772602865586e-14,2.21148220029348e-12
"AT4G27980",12.1625102560899,1.90346015795382,0.2478959099124,7.67846536325044,1.61005676658698e-14,2.378907368318e-12
"AT1G51130",123.340761486686,1.64806389918283,0.214920455809162,7.66825053007624,1.74358078636465e-14,2.54730204050579e-12
"AT2G18690",227.797734288189,1.72252610936581,0.224633535904641,7.66816095570447,1.74479855997461e-14,2.54730204050579e-12
"AT1G34260",306.071349163233,0.517579076249018,0.0675185909964835,7.66572685552598,1.77821262565705e-14,2.58072314020654e-12
"AT1G33560",219.487796594517,0.765241168994376,0.0998389368602242,7.6647567878825,1.79170394742708e-14,2.58500721873788e-12
"AT1G43910",219.03794302273,1.74679032511244,0.228071253932214,7.65896751561516,1.87433795506206e-14,2.68841444583668e-12
"AT5G16000",299.942774109838,-0.415311981604536,0.0542617907833966,-7.65385689651099,1.95039314596428e-14,2.781237947155e-12
"AT2G26530",122.674654755577,2.10477376284661,0.275636283361568,7.63605479357612,2.23979031502882e-14,3.1754530090585e-12
"AT4G34180",693.588689010632,0.362095974477074,0.0475490833358491,7.61520410224345,2.6327511045614e-14,3.71111990468836e-12
"AT5G27760",570.008402149501,1.21380839290461,0.159446496015932,7.61263761345578,2.68558003178464e-14,3.76395551083325e-12
